meas,new_id,piano,orig_id,octave,note
7,7002,C,5968,0,
13,7004,C,5970,0,
15,7007,C,5919,0,
20,7010,C,5971,0,
24,7012,C,5975,0,
25,7013,C,5922,0,
29,7016,C,5923,0,
34,7020,C,5978,0,
36,7022,C,5979,0,
45,7028,C,5980,0,
48,7029,C,5981,0,
54,7033,C,5984,0,
57,7036,C,5985,0,
58,7037,C,5986,0,
66,7043,C,5932,0,
68,7044,C,5976,0,
71,7047,C,5933,0,
75,7048,C,5989,0,
76,7049,C,5990,0,
77,7050,C,5991,0,
82,7053,C,5934,0,
87,7057,C,5935,0,
89,7062,C,5994,0,
91,7064,C,5995,0,
104,7067,C,5938,0,
110,7072,C,5939,0,
111,7073,C,5999,0,
116,7076,C,5999,0,
120,7077,C,5939,0,
122,7078,C,5940,0,
131,7086,C,5929,0,
133,7088,C,6004,0,
136,7091,C,6004,0,
136,7092,C,6004,0,
139,7094,C,6005,0,
143,7098,C,6001,0,
150,7102,C,5944,0,
151,7103,C,5945,0,
155,7108,C,6001,0,
158,7109,C,6001,0,
159,7110,C,6014,0,
161,7113,C,6015,0,
165,7117,C,5949,0,
168,7122,C,6018,0,
173,7127,C,5951,0,
180,7131,C,5952,0,
189,7134,C,5954,0,
198,7136,C,5955,0,
204,7140,C,6026,0,
206,7144,C,6026,0,
213,7147,C,5956,0,
216,7149,C,5957,0,
222,7153,C,5996,0,
223,7155,C,5997,0,
226,7156,C,6030,0,
228,7159,C,6031,0,
231,7162,C,6032,0,
235,7164,C,5959,0,
239,7168,C,5959,0,
241,7170,C,6036,0,
248,7174,C,6040,0,
252,7177,C,5959,0,
253,7180,C,5960,0,
254,7183,C,6012,0,
256,7185,C,6013,0,
260,7188,C,6014,0,
261,7189,C,5989,0,
264,7193,C,5990,0,
269,7196,C,6054,0,
274,7200,C,6004,0,
276,7201,C,6004,0,this is not actually a new section but because it changes from Spirio to human I assign a new code
279,7203,C,6005,0,
285,7207,C,6060,0,
288,7211,C,6061,0,
292,7215,C,5992,0,
293,7216,C,5992,0,this is not actually a new section but because it changes from Spirio to human I assign a new code
295,7218,C,5993,0,
297,7223,C,5938,0,
299,7224,C,5984,0,
300,7227,C,5985,0,
302,7229,C,6067,0,
307,7233,C,5982,0,Spirio to human to Spirio
312,7236,C,5974,0,
313,7237,C,5975,0,
317,7239,C,6034,0,
322,7243,C,6036,0,
323,7244,C,6037,0,
326,7248,C,6044,0,
327,7249,C,6045,0,
328,7250,C,5992,0,
328,7251,C,5993,0,
330,7254,C,5994,0,
330,7255,C,5988,0,
331,7256,C,6074,0,
332,7257,C,6075,0,
333,7259,C,6075,0,
336,7261,C,6076,0,
338,7264,C,6076,0,assigned to yellow
343,7268,C,6077,0,assigned to red
346,7271,C,6077,0,assigned to red
348,7273,C,6078,0,assigned to red
